848	1454	Emily's	Japan	2015	Peru	Peru	78.0	3.0	B,S,C	brownine, nutty	3.5	data from Kaggle
1	2454	5150	U.S.A.	2019	Tanzania	Kokoa Kamili, batch 1	76.0	3.0	B,S,C	rich cocoa, fatty, bready	3.25	data from Kaggle
2	2458	5150	U.S.A.	2019	Dominican Republic	Zorzal, batch 1	76.0	3.0	B,S,C	cocoa, vegetal, savory	3.5	data from Kaggle
3	2454	5150	U.S.A.	2019	Madagascar	Bejofo Estate, batch 1	76.0	3.0	B,S,C	cocoa, blackberry, full body	3.75	data from Kaggle
4	2542	5150	U.S.A.	2021	Fiji	Matasawalevu, batch 1	68.0	3.0	B,S,C	chewy, off, rubbery	3.0	data from Kaggle
5	2546	5150	U.S.A.	2021	Venezuela	Sur del Lago, batch 1	72.0	3.0	B,S,C	fatty, earthy, moss, nutty,chalky	3.0	data from Kaggle
6	2546	5150	U.S.A.	2021	Uganda	Semuliki Forest, batch 1	80.0	3.0	B,S,C	mildly bitter, basic cocoa, fatty	3.25	data from Kaggle
7	2542	5150	U.S.A.	2021	India	Anamalai, batch 1	68.0	3.0	B,S,C	milk brownie, macadamia,chewy	3.5	data from Kaggle
8	797	A. Morin	France	2012	Bolivia	Bolivia	70.0	4.0	B,S,C,L	vegetal, nutty	3.5	data from Kaggle
9	797	A. Morin	France	2012	Peru	Peru	63.0	4.0	B,S,C,L	fruity, melon, roasty	3.75	data from Kaggle
10	1011	A. Morin	France	2013	Panama	Panama	70.0	4.0	B,S,C,L	brief fruit note, earthy, nutty	2.75	data from Kaggle
11	1015	A. Morin	France	2013	Colombia	Colombie	70.0	4.0	B,S,C,L	burnt rubber,alkalyzed notes	2.75	data from Kaggle
12	1011	A. Morin	France	2013	Madagascar	Madagascar, Criollo	70.0	4.0	B,S,C,L	sticky, red fruit, sour	3.0	data from Kaggle
13	1015	A. Morin	France	2013	Burma	Birmanie	70.0	4.0	B,S,C,L	sticky, smokey, grass	3.0	data from Kaggle
14	1011	A. Morin	France	2013	Brazil	Brazil	70.0	4.0	B,S,C,L	mild tobacco	3.25	data from Kaggle
15	1015	A. Morin	France	2013	Papua New Guinea	Papua New Guinea	70.0	4.0	B,S,C,L	mild fruit, strong smoke	3.25	data from Kaggle
16	1019	A. Morin	France	2013	Peru	Piura	70.0	4.0	B,S,C,L	green, nutty, cocoa	3.25	data from Kaggle
17	1019	A. Morin	France	2013	Peru	Chanchamayo Province	70.0	4.0	B,S,C,L	cocoa,sour,intense tangerine	3.5	data from Kaggle
18	1011	A. Morin	France	2013	Ecuador	Equateur	70.0	4.0	B,S,C,L	sandy, nutty, cocoa, fig	3.75	data from Kaggle
19	1015	A. Morin	France	2013	Venezuela	Chuao	70.0	4.0	B,S,C,L	oily, nut, caramel, raspberry	4.0	data from Kaggle
20	1019	A. Morin	France	2013	Peru	Chanchamayo Province	63.0	3.0	B,S,C	sweet, cocoa, tangerine	4.0	data from Kaggle
21	1315	A. Morin	France	2014	Venezuela	Carenero, Criollo	70.0	4.0	B,S,C,L	harsh, leather, earthy	2.75	data from Kaggle
22	1315	A. Morin	France	2014	Cuba	Cuba	70.0	4.0	B,S,C,L	sliglty dry, papaya	3.5	data from Kaggle
23	1315	A. Morin	France	2014	Venezuela	Sur del Lago, Criollo	70.0	4.0	B,S,C,L	nutty, mild choco, roasty	3.5	data from Kaggle
24	1319	A. Morin	France	2014	Venezuela	Puerto Cabello, Criollo	70.0	4.0	B,S,C,L	astringent, nutty, chocolatey	3.75	data from Kaggle
25	1319	A. Morin	France	2014	Peru	Pablino	70.0	4.0	B,S,C,L	delicate, hazelnut, brownie	4.0	data from Kaggle
26	1676	A. Morin	France	2015	Togo	Kpime	70.0	4.0	B,S,C,L	burnt wood, earthy, choco	2.75	data from Kaggle
27	1676	A. Morin	France	2015	Togo	Atsane	70.0	4.0	B,S,C,L	roasty, acidic, nutty	3.0	data from Kaggle
28	1680	A. Morin	France	2015	Togo	Akata	70.0	4.0	B,S,C,L	mild profile, chocolaty, spice	3.5	data from Kaggle
29	1704	A. Morin	France	2015	Peru	Quilla	70.0	4.0	B,S,C,L	grainy texture, cocoa, sweet	3.5	data from Kaggle
30	1876	A. Morin	France	2016	Sao Tome	Agua Grande	63.0	4.0	B,S,C,L	sweet, chocolatey, vegetal	3.75	data from Kaggle
31	2206	A. Morin	France	2018	Venezuela	Porcelana	70.0	4.0	B,S,C,L	alluring aroma, powdery,nutty	3.5	data from Kaggle
32	2206	A. Morin	France	2018	Peru	Absolu	63.0	4.0	B,S,C,L	sweet, dairy, spice, cocoa	3.75	data from Kaggle
33	2648	A. Morin	France	2021	Mexico	La Joya	70.0	4.0	B,S,C,L	light color, fruit, yogurt	4.0	data from Kaggle
34	1462	Acalli	U.S.A.	2015	Peru	Chulucanas, El Platanal, batch 001	70.0	2.0	B,S	yellow fruit	3.75	data from Kaggle
35	1470	Acalli	U.S.A.	2015	Peru	Tumbes, Norandino	70.0	2.0	B,S	intense, nutty, cherry, cocoa	3.75	data from Kaggle
36	2462	Acalli	U.S.A.	2020	Mexico	Teapa, Tabasco, batch 2	74.0	2.0	B,S	herbal, molasses, hammy	3.25	data from Kaggle
37	2470	Acalli	U.S.A.	2020	Peru	Barataria, El Plantal and Norandino Tumbes blend	70.0	2.0	B,S	hot cocoa, rich, molasses	3.5	data from Kaggle
38	705	Adi aka Fijiana (Easy In Ltd)	Fiji	2011	Fiji	Vanua Levu	60.0	3.0	B,S,C	sweet, sublte strawberry	2.75	data from Kaggle
39	705	Adi aka Fijiana (Easy In Ltd)	Fiji	2011	Fiji	Vanua Levu, Toto-A	80.0	3.0	B,S,C	spicy and candy-like	3.25	data from Kaggle
40	705	Adi aka Fijiana (Easy In Ltd)	Fiji	2011	Fiji	Vanua Levu	88.0	3.0	B,S,C	orange, floral, lemon	3.5	data from Kaggle
41	705	Adi aka Fijiana (Easy In Ltd)	Fiji	2011	Fiji	Vanua Levu, Ami-Ami-CA	72.0	3.0	B,S,C	cocoa and powerful tang	3.5	data from Kaggle
42	2438	Aelan	Vanuatu	2019	Vanuatu	Malekula Island, batch M10/19	70.0	2.0	B,S	unrefined, sweet, metallic	2.5	data from Kaggle
43	2438	Aelan	Vanuatu	2019	Vanuatu	Malo Island, batch Ma20/19	70.0	2.0	B,S	basic, sweet, cocoa, woody	2.75	data from Kaggle
44	2442	Aelan	Vanuatu	2019	Vanuatu	Santo Island, batch S15/19	70.0	2.0	B,S	sweet, cocoa, rubbery	2.75	data from Kaggle
45	2438	Aelan	Vanuatu	2019	Vanuatu	EPI Island, batch E 11/19	70.0	2.0	B,S	sandy, woody, spicy, sweet	3.0	data from Kaggle
46	370	Aequare (Gianduja)	Ecuador	2009	Ecuador	Los Rios, Quevedo, Arriba	55.0	4.0	B,S,C,V	sandy, sweet, banana cream	2.75	data from Kaggle
47	370	Aequare (Gianduja)	Ecuador	2009	Ecuador	Los Rios, Quevedo, Arriba	70.0	4.0	B,S,C,V	roasty, nutty, coffee	3.0	data from Kaggle
48	316	Ah Cacao	Mexico	2009	Mexico	Tabasco	70.0	3.0	B,S,C	gritty, spice, cocoa	3.0	data from Kaggle
49	502	Akesson's (Pralus)	U.K.	2010	Madagascar	Madagascar, Ambolikapiky P.	75.0	4.0	B,S,C,L	strong pepper, musty	2.75	data from Kaggle
50	508	Akesson's (Pralus)	U.K.	2010	Brazil	Monte Alegre, D. Badero	75.0	4.0	B,S,C,L	fatty, intense, woody	2.75	data from Kaggle
51	636	Akesson's (Pralus)	U.K.	2011	Indonesia	Bali (west), Sukrama Family, Melaya area	75.0	4.0	B,S,C,L	hay, nut, berry	3.75	data from Kaggle
52	1061	Alain Ducasse	France	2013	Venezuela	Chuao	75.0	5.0	B,S,C,V,L	sandy, dirt, ashey	2.5	data from Kaggle
53	1173	Alain Ducasse	France	2013	Peru	Piura, Perou	75.0	5.0	B,S,C,V,L	cardboard, dirt, roasty	2.5	data from Kaggle
54	1215	Alain Ducasse	France	2014	Trinidad	Trinite	65.0	6.0	B,S,C,V,L,Sa	roasty, sweet, savory	2.75	data from Kaggle
55	1215	Alain Ducasse	France	2014	Vietnam	Vietnam	75.0	5.0	B,S,C,V,Sa	nutty, roasty, odd dairy	2.75	data from Kaggle
56	1215	Alain Ducasse	France	2014	Madagascar	Madagascar	75.0	5.0	B,S,C,V,Sa	citrus, fatty, dairy	3.0	data from Kaggle
57	1992	Alain Ducasse	France	2017	Mexico	Porcelana, Mexique	75.0	6.0	B,S,C,V,L,Sa	strawberry, cream, gateway	3.5	data from Kaggle
58	1944	Alexandre	Netherlands	2017	Ecuador	Winak Coop, Napo	70.0	3.0	B,S,C	sandy, green, floral	3.5	data from Kaggle
59	1944	Alexandre	Netherlands	2017	Nicaragua	La Dalia, Matagalpa	70.0	3.0	B,S,C	sandy, sweet, nibby	3.5	data from Kaggle
60	1944	Alexandre	Netherlands	2017	Tanzania	Makwale Village, Kyela	70.0	3.0	B,S,C	sandy, melon, banana	3.5	data from Kaggle
61	1944	Alexandre	Netherlands	2017	Vietnam	Tien Giang	70.0	3.0	B,S,C	sandy, sweet, roasty	3.5	data from Kaggle
62	1125	Altus aka Cao Artisan	U.S.A.	2013	Venezuela	Sur del Lago	60.0	4.0	B,S,C,L	sweet, moldy, off	2.5	data from Kaggle
63	1125	Altus aka Cao Artisan	U.S.A.	2013	Dominican Republic	Conacado, batch 130	60.0	4.0	B,S,C,L	sandy, sweet, dairy, spice	3.0	data from Kaggle
64	1133	Altus aka Cao Artisan	U.S.A.	2013	Bolivia	Bolivia, batch 154	60.0	4.0	B,S,C,L	grit, sweet, caramel, fruit	3.0	data from Kaggle
65	1129	Altus aka Cao Artisan	U.S.A.	2013	Bolivia	Bolivia, batch 101	80.0	4.0	B,S,C,L	gritty, berry, mild bitter	3.25	data from Kaggle
66	1133	Altus aka Cao Artisan	U.S.A.	2013	Peru	Peru, batch 148	60.0	4.0	B,S,C,L	gritty, too sweet, fruit	3.25	data from Kaggle
67	1732	Altus aka Cao Artisan	U.S.A.	2016	Bolivia	CIAAB Coop	60.0	3.0	B,S,C	sandy, sweet, pungent	2.5	data from Kaggle
68	1732	Altus aka Cao Artisan	U.S.A.	2016	Peru	Villa Andina	60.0	3.0	B,S,C	sandy, sweet, sour, off	2.5	data from Kaggle
69	1728	Altus aka Cao Artisan	U.S.A.	2016	Nicaragua	Momotombo	60.0	3.0	B,S,C	powdery, sweet, molasses	2.75	data from Kaggle
70	1732	Altus aka Cao Artisan	U.S.A.	2016	Ecuador	Gruppo Salinas	60.0	3.0	B,S,C	sandy, nutty, earthy, roasty	2.75	data from Kaggle
71	1728	Altus aka Cao Artisan	U.S.A.	2016	Peru	Acopagro	60.0	3.0	B,S,C	dry, sweet, caramel	3.0	data from Kaggle
72	2044	Altus aka Cao Artisan	U.S.A.	2018	Dominican Republic	Oko Caribe	70.0	3.0	B,S,C	sweet, coarse, nutty	3.0	data from Kaggle
73	147	Amano	U.S.A.	2007	Venezuela	Cuyagua	70.0	4.0	B,S,C,V	waxy, nutty, mint	3.0	data from Kaggle
74	129	Amano	U.S.A.	2007	Madagascar	Madagascar	70.0	4.0	B,S,C,V	spice, nut, cocoa, fruit	3.5	data from Kaggle
75	175	Amano	U.S.A.	2007	Venezuela	Ocumare	70.0	4.0	B,S,C,V	spicy, strawberry	3.75	data from Kaggle
76	304	Amano	U.S.A.	2008	Indonesia	Bali, Jembrana	70.0	4.0	B,S,C,V	sticky, nutty, high acidity	2.75	data from Kaggle
77	363	Amano	U.S.A.	2009	Venezuela	Montanya	70.0	4.0	B,S,C,V	hot spice, roasty	3.0	data from Kaggle
78	544	Amano	U.S.A.	2010	Venezuela	Chuao	70.0	4.0	B,S,C,V	woody, red berry, sour	3.0	data from Kaggle
79	470	Amano	U.S.A.	2010	Dominican Republic	Dos Rios	70.0	4.0	B,S,C,V	orange, cinamon	3.75	data from Kaggle
80	470	Amano	U.S.A.	2010	Ecuador	Guayas	70.0	4.0	B,S,C,V	strong spice, intense pepper	4.0	data from Kaggle
81	725	Amano	U.S.A.	2011	Papua New Guinea	Morobe	70.0	4.0	B,S,C,V	tart, lemon, smoke	4.0	data from Kaggle
82	327	Amatller (Simon Coll)	Spain	2009	Ecuador	Ecuador	70.0	2.0	B,S	waxy mouthfeel, spicy	2.75	data from Kaggle
83	464	Amatller (Simon Coll)	Spain	2009	Ecuador	Ecuador	85.0	2.0	B,S	fatty, mushroom, off notes	2.75	data from Kaggle
84	322	Amatller (Simon Coll)	Spain	2009	Ghana	Ghana	70.0	2.0	B,S	dry, chalky, fudge-like	3.0	data from Kaggle
85	464	Amatller (Simon Coll)	Spain	2009	Ghana	Ghana	85.0	2.0	B,S	roasty,oddly sweet,marshmallow	3.0	data from Kaggle
86	1964	Amazing Cacao	Russia	2017	Peru	Maranon	70.0	\N	\N	raisins, pungent	3.0	data from Kaggle
87	1964	Amazing Cacao	Russia	2017	Peru	Platan Bajo	70.0	\N	\N	few grits, blackcherry, licorice	3.5	data from Kaggle
88	1145	Amazona	Peru	2013	Peru	LamasdelChanka, San Martin, Oro Verde coop	72.0	3.0	B,S,C	oily, vanilla, melon, cocoa	3.25	data from Kaggle
89	1145	Amazona	Peru	2013	Peru	Bellavista Gran Pajeten, San Martin	73.0	3.0	B,S,C	oily, vegetal, nutty, cocoa	3.5	data from Kaggle
90	1494	Ambrosia	Canada	2015	Belize	Belize	64.0	4.0	B,S,C,L	roasty, brownie, nutty	3.0	data from Kaggle
91	1494	Ambrosia	Canada	2015	Madagascar	Madagascar	66.0	2.0	B,S	fruity, sour	3.25	data from Kaggle
92	1498	Ambrosia	Canada	2015	Dominican Republic	Dominican Republic	75.0	2.0	B,S	high roast, high astringnet	3.25	data from Kaggle
93	1498	Ambrosia	Canada	2015	Papua New Guinea	Papua New Guinea	63.0	2.0	B,S	smokey, savory	3.25	data from Kaggle
94	1498	Ambrosia	Canada	2015	Venezuela	Venezuela	70.0	2.0	B,S	sandy, roasty, nutty	3.25	data from Kaggle
95	1498	Ambrosia	Canada	2015	Peru	Peru	68.0	2.0	B,S	rich, sour, mild smoke	3.5	data from Kaggle
96	75	Amedei	Italy	2006	Blend	Toscano Black	66.0	4.0	B,S,C,V	red wine, rich cocoa, long	3.75	data from Kaggle
97	123	Amedei	Italy	2007	Ecuador	Ecuador	70.0	4.0	B,S,C,V	creamy, earthy, vegetal	3.0	data from Kaggle
98	123	Amedei	Italy	2007	Jamaica	Jamaica	70.0	4.0	B,S,C,V	sandy, woody, spicy	3.0	data from Kaggle
99	123	Amedei	Italy	2007	Grenada	Grenada	70.0	4.0	B,S,C,V	fruity with coffee notes	3.5	data from Kaggle
100	129	Amedei	Italy	2007	Trinidad	Trinidad	70.0	4.0	B,S,C,V	coffee, fruit, woodsy	3.5	data from Kaggle
101	170	Amedei	Italy	2007	Blend	Toscano Black	63.0	4.0	B,S,C,V	fatty, dairy, caramel, cocoa	3.5	data from Kaggle
102	123	Amedei	Italy	2007	Venezuela	Venezuela	70.0	4.0	B,S,C,V	creamy, fruit, cocoa	3.75	data from Kaggle
103	979	Amedei	Italy	2012	Peru	Piura, Blanco de Criollo	70.0	4.0	B,S,C,V	creamy, raspberry, nutty	3.75	data from Kaggle
104	2088	Amedei	Italy	2018	Madagascar	Madagascar	70.0	4.0	B,S,C,V	vanilla, mint, roasty	3.0	data from Kaggle
105	2088	Amedei	Italy	2018	Venezuela	Chuao	70.0	4.0	B,S,C,V	vanilla, nuts, roasty	3.0	data from Kaggle
106	2092	Amedei	Italy	2018	Venezuela	Porcelana	70.0	4.0	B,S,C,V	nutty, mild roasty, vanilla	3.0	data from Kaggle
107	2092	Amedei	Italy	2018	Blend	Nine	75.0	4.0	B,S,C,V	sweet, delicate, complex	3.5	data from Kaggle
108	2434	Amedei	Italy	2019	Blend	Toscano Black	70.0	3.0	B,S,C	nut, fatty, rubbery, rich	2.75	data from Kaggle
109	572	AMMA	Brazil	2010	Brazil	Monte Alegre, 3 diff. plantations	85.0	4.0	B,S,C,L	creamy, red berry, bitter	2.75	data from Kaggle
110	572	AMMA	Brazil	2010	Brazil	Monte Alegre, 3 diff. plantations	50.0	4.0	B,S,C,L	very sweet, bright red, banana	3.75	data from Kaggle
